Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237613	FAM138A	1	-	34554	36081	0.057834	0.016344	0.034592
ENSG00000238009	RP11-34P13.7	1	-	89295	133723	0.415917	0.117542	0.248772
ENSG00000239945	RP11-34P13.8	1	-	89551	91105	0.619789	0.175158	0.370714
ENSG00000233750	CICP27	1	+	131025	134836	0.171531	0.048476	0.102598
ENSG00000268903	RP11-34P13.15	1	-	135141	135895	4.175333	1.179988	2.497391
ENSG00000239906	RP11-34P13.14	1	-	139790	140339	0.135136	0.038191	0.080829
ENSG00000269981	RP11-34P13.16	1	-	137682	137965	10.694520	3.022371	6.396709
ENSG00000279928	FO538757.3	1	+	182393	184158	1.720288	0.486169	1.028955
ENSG00000241860	RP11-34P13.13	1	-	141474	173862	0.306889	0.086730	0.183559
ENSG00000222623	RNU6-1100P	1	-	157784	157887	0.009615	0.002717	0.005751
ENSG00000241599	RP11-34P13.9	1	+	160446	161525	0.000000	0.000000	0.000000
ENSG00000223972	DDX11L1	1	+	11869	14409	0.334005	0.094393	0.199778
ENSG00000227232	WASH7P	1	-	14404	29570	28.680943	8.105500	17.154921
ENSG00000278267	MIR6859-3	1	-	17369	17436	66.718674	18.855318	39.906414
ENSG00000243485	RP11-34P13.3	1	+	29554	31109	0.156024	0.044094	0.093323
ENSG00000274890	MIR1302-9	1	+	30366	30503	0.000000	0.000000	0.000000
ENSG00000236679	RP4-669L17.1	1	-	347982	348366	0.393576	0.111229	0.235410
ENSG00000228463	AP006222.2	1	-	257864	297502	1.864985	0.527062	1.115503
ENSG00000241670	AP006222.1	1	-	258568	259024	3.836059	1.084108	2.294466
ENSG00000279457	FO538757.2	1	-	184923	200322	49.649899	14.031523	29.697077
ENSG00000273874	MIR6859-2	1	-	187891	187958	34.097054	14.322410	30.312725
ENSG00000231709	RP5-857K21.1	1	-	585989	588453	0.315914	0.089280	0.188958
ENSG00000235146	RP5-857K21.2	1	+	587629	594768	0.119685	0.033824	0.071587
ENSG00000239664	RP5-857K21.3	1	-	594453	597498	0.118936	0.033612	0.071139
ENSG00000236743	RP5-857K21.15	1	-	357383	359681	0.142258	0.040203	0.085089
ENSG00000236601	RP4-669L17.2	1	+	358857	365704	0.000000	0.000000	0.000000
ENSG00000237094	RP4-669L17.10	1	-	365389	501617	0.590559	0.166897	0.353231
ENSG00000269732	WBP1LP7	1	+	439870	440232	0.000000	0.000000	0.000000
ENSG00000278566	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
ENSG00000224813	RP4-669L17.4	1	-	485032	485211	0.474306	0.134043	0.283696
ENSG00000233653	CICP7	1	+	487101	489906	0.089563	0.025311	0.053570
ENSG00000250575	RP4-669L17.8	1	-	491225	493241	7.906351	2.234408	4.729023
ENSG00000224956	RP11-206L10.1	1	-	726231	728147	8.827309	2.494680	5.279875
ENSG00000223181	RNU6-1199P	1	-	758233	758336	0.653846	0.184783	0.391085
ENSG00000235373	RP11-206L10.3	1	-	741813	750016	0.211999	0.059913	0.126803
ENSG00000240618	RP11-206L10.5	1	-	759032	764925	1.233948	0.348725	0.738061
ENSG00000229905	RP11-206L10.4	1	+	760911	761989	0.019737	0.005578	0.011805
ENSG00000228327	RP11-206L10.2	1	-	764857	778626	4.587399	1.296442	2.743859
ENSG00000237491	RP11-206L10.9	1	+	778770	810060	1.380419	2.717144	5.750710
ENSG00000230092	RP11-206L10.8	1	-	800879	817712	0.515864	0.145788	0.308554
ENSG00000177757	FAM87B	1	+	817371	819837	1.461222	0.412955	0.874000
ENSG00000230368	FAM41C	1	-	868071	876903	0.429078	0.121261	0.256644
ENSG00000234711	TUBB8P11	1	+	873292	874349	0.142722	0.040602	0.085931
ENSG00000272438	RP11-54O7.16	1	+	904834	915976	0.643875	0.181965	0.385121
ENSG00000230699	RP11-54O7.1	1	+	911435	914948	0.765363	0.216299	0.457786
ENSG00000241180	RP11-54O7.2	1	+	914171	914971	0.672686	0.190107	0.402353
ENSG00000223764	RP11-54O7.3	1	-	916865	921016	4.770954	1.348316	2.853649
ENSG00000228794	LINC01128	1	+	825138	859446	3.932652	1.111404	2.352236
ENSG00000225880	LINC00115	1	-	826206	827522	28.088079	7.937952	16.800312
ENSG00000187583	PLEKHN1	1	+	966497	975865	0.535122	0.151230	0.320072
ENSG00000187642	PERM1	1	-	975204	982093	0.564544	0.159545	0.337671
ENSG00000187961	KLHL17	1	+	960587	965715	22.995876	6.498848	13.754515
ENSG00000277294	AL645608.1	1	+	965110	965166	48.175438	13.614827	28.815157
ENSG00000272512	RP11-54O7.17	1	-	995966	998051	4.261831	1.204433	2.549127
ENSG00000187634	SAMD11	1	+	924880	944581	13.255404	3.746100	7.928450
ENSG00000188976	NOC2L	1	-	944204	959309	39.724758	11.226585	23.760557
ENSG00000188290	HES4	1	-	998962	1000172	55.079605	15.566009	32.944744
ENSG00000187608	ISG15	1	+	1001138	1014541	24.734619	6.990233	14.794509
ENSG00000231702	RP11-54O7.10	1	-	1008076	1008229	0.645022	0.182289	0.385807
ENSG00000224969	RP11-54O7.11	1	-	1011997	1013193	0.276008	0.078002	0.165089
ENSG00000237330	RNF223	1	-	1070966	1074307	0.000000	0.000000	0.000000
ENSG00000217801	RP11-465B22.3	1	+	1059734	1069355	0.960552	0.271461	0.574535
ENSG00000273443	RP11-54O7.18	1	-	1062208	1063288	0.733414	0.207270	0.438677
ENSG00000188157	AGRN	1	+	1020123	1056118	13.254510	3.745848	7.927915
ENSG00000242590	RP11-54O7.14	1	+	1055033	1056116	28.231344	7.978440	16.886003
ENSG00000223823	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
