Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237613	FAM138A	1	-	34554	36081	0.240799	0.050005	0.095410
ENSG00000238009	RP11-34P13.7	1	-	89295	133723	0.280256	0.058199	0.111044
ENSG00000239945	RP11-34P13.8	1	-	89551	91105	0.519837	0.107951	0.205972
ENSG00000233750	CICP27	1	+	131025	134836	0.200319	0.041599	0.079371
ENSG00000268903	RP11-34P13.15	1	-	135141	135895	4.401194	0.913965	1.743855
ENSG00000223972	DDX11L1	1	+	11869	14409	0.331361	0.068811	0.131293
ENSG00000227232	WASH7P	1	-	14404	29570	29.376076	6.100324	11.639485
ENSG00000278267	MIR6859-3	1	-	17369	17436	41.269367	8.570121	16.351885
ENSG00000243485	RP11-34P13.3	1	+	29554	31109	0.267842	0.055621	0.106125
ENSG00000274890	MIR1302-9	1	+	30366	30503	0.070048	0.014546	0.027755
ENSG00000239906	RP11-34P13.14	1	-	139790	140339	0.492620	0.102299	0.195188
ENSG00000269981	RP11-34P13.16	1	-	137682	137965	12.401842	2.575404	4.913899
ENSG00000241860	RP11-34P13.13	1	-	141474	173862	0.385584	0.080072	0.152777
ENSG00000222623	RNU6-1100P	1	-	157784	157887	0.000000	0.000000	0.000000
ENSG00000241599	RP11-34P13.9	1	+	160446	161525	0.000000	0.000000	0.000000
ENSG00000279928	FO538757.3	1	+	182393	184158	2.444708	0.507675	0.968650
ENSG00000275135	FO538757.1	1	+	200880	201017	0.429952	0.089285	0.170357
ENSG00000236679	RP4-669L17.1	1	-	347982	348366	0.724485	0.150449	0.287058
ENSG00000228463	AP006222.2	1	-	257864	297502	1.511103	0.313800	0.598734
ENSG00000241670	AP006222.1	1	-	258568	259024	3.791669	0.787389	1.502347
ENSG00000279457	FO538757.2	1	-	184923	200322	40.578533	8.426660	16.078159
ENSG00000273874	MIR6859-2	1	-	187891	187958	19.035534	3.952976	7.542322
ENSG00000231709	RP5-857K21.1	1	-	585989	588453	0.813002	0.168830	0.322130
ENSG00000235146	RP5-857K21.2	1	+	587629	594768	0.718110	0.149125	0.284532
ENSG00000239664	RP5-857K21.3	1	-	594453	597498	0.621283	0.129018	0.246167
