Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237613	FAM138A	1	-	34554	36081	0.134468	0.045199	0.086466
ENSG00000268020	OR4G4P	1	+	52473	53312	0.170833	0.057556	0.110105
ENSG00000240361	OR4G11P	1	+	62948	63887	0.026241	0.008940	0.017102
ENSG00000239906	RP11-34P13.14	1	-	139790	140339	0.116099	0.039025	0.074654
ENSG00000279928	FO538757.3	1	+	182393	184158	0.162488	0.054618	0.104484
ENSG00000269981	RP11-34P13.16	1	-	137682	137965	7.718032	2.594302	4.962872
ENSG00000238009	RP11-34P13.7	1	-	89295	133723	0.239475	0.080496	0.153988
ENSG00000239945	RP11-34P13.8	1	-	89551	91105	0.375195	0.126116	0.241259
ENSG00000233750	CICP27	1	+	131025	134836	0.091346	0.030705	0.058738
ENSG00000268903	RP11-34P13.15	1	-	135141	135895	3.309203	1.112339	2.127893
ENSG00000241860	RP11-34P13.13	1	-	141474	173862	0.091166	0.030644	0.058622
ENSG00000222623	RNU6-1100P	1	-	157784	157887	0.254808	0.085650	0.163847
ENSG00000241599	RP11-34P13.9	1	+	160446	161525	0.000000	0.000000	0.000000
ENSG00000223972	DDX11L1	1	+	11869	14409	0.130233	0.043776	0.083743
ENSG00000227232	WASH7P	1	-	14404	29570	21.788219	7.323787	14.010325
ENSG00000278267	MIR6859-3	1	-	17369	17436	32.445587	10.906105	20.863258
ENSG00000243485	RP11-34P13.3	1	+	29554	31109	0.096637	0.032483	0.062140
ENSG00000274890	MIR1302-9	1	+	30366	30503	0.236232	0.079406	0.151903
ENSG00000236679	RP4-669L17.1	1	-	347982	348366	0.215498	0.072611	0.138904
ENSG00000228463	AP006222.2	1	-	257864	297502	1.010749	0.339748	0.649935
ENSG00000241670	AP006222.1	1	-	258568	259024	1.854141	0.623243	1.192258
ENSG00000279457	FO538757.2	1	-	184923	200322	29.169140	9.804774	18.756426
ENSG00000273874	MIR6859-2	1	-	187891	187958	8.801222	3.825141	7.317452
ENSG00000231709	RP5-857K21.1	1	-	585989	588453	0.269002	0.090421	0.172974
ENSG00000235146	RP5-857K21.2	1	+	587629	594768	0.116535	0.039172	0.074935
ENSG00000239664	RP5-857K21.3	1	-	594453	597498	0.243684	0.081911	0.156694
ENSG00000236743	RP5-857K21.15	1	-	357383	359681	0.053452	0.017967	0.034371
ENSG00000236601	RP4-669L17.2	1	+	358857	365704	0.118110	0.039701	0.075947
ENSG00000237094	RP4-669L17.10	1	-	365389	501617	0.418525	0.140681	0.269121
ENSG00000269732	WBP1LP7	1	+	439870	440232	0.000000	0.000000	0.000000
ENSG00000278566	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
ENSG00000224813	RP4-669L17.4	1	-	485032	485211	0.422222	0.141924	0.271498
ENSG00000233653	CICP7	1	+	487101	489906	0.045504	0.015295	0.029260
ENSG00000250575	RP4-669L17.8	1	-	491225	493241	5.069612	1.704075	3.259877
ENSG00000224956	RP11-206L10.1	1	-	726231	728147	5.278543	1.774304	3.394224
ENSG00000235373	RP11-206L10.3	1	-	741813	750016	0.333740	0.112182	0.214602
ENSG00000240618	RP11-206L10.5	1	-	759032	764925	0.713608	0.239869	0.458866
ENSG00000229905	RP11-206L10.4	1	+	760911	761989	0.138158	0.046440	0.088839
ENSG00000228327	RP11-206L10.2	1	-	764857	778626	2.936186	0.986955	1.888035
ENSG00000237491	RP11-206L10.9	1	+	778770	810060	0.886641	2.473887	4.732518
ENSG00000230092	RP11-206L10.8	1	-	800879	817712	1.344610	0.451971	0.864615
ENSG00000177757	FAM87B	1	+	817371	819837	1.042886	0.350551	0.670600
ENSG00000230368	FAM41C	1	-	868071	876903	0.245923	0.082663	0.158134
ENSG00000234711	TUBB8P11	1	+	873292	874349	0.000000	0.000000	0.000000
ENSG00000272438	RP11-54O7.16	1	+	904834	915976	0.478632	0.160885	0.307771
ENSG00000230699	RP11-54O7.1	1	+	911435	914948	0.149523	0.050260	0.096147
ENSG00000241180	RP11-54O7.2	1	+	914171	914971	0.000000	0.000000	0.000000
ENSG00000228794	LINC01128	1	+	825138	859446	1.855821	0.623807	1.193335
ENSG00000225880	LINC00115	1	-	826206	827522	12.274108	4.125760	7.892533
ENSG00000223764	RP11-54O7.3	1	-	916865	921016	3.372591	1.133646	2.168653
ENSG00000187583	PLEKHN1	1	+	966497	975865	0.219202	0.073682	0.140952
ENSG00000187642	PERM1	1	-	975204	982093	0.442173	0.148630	0.284327
ENSG00000187961	KLHL17	1	+	960587	965715	8.101031	2.723042	5.209149
ENSG00000277294	AL645608.1	1	+	965110	965166	26.280703	8.833868	16.899094
ENSG00000187634	SAMD11	1	+	924880	944581	5.721211	1.923100	3.678870
ENSG00000188976	NOC2L	1	-	944204	959309	23.391293	7.862637	15.041137
ENSG00000272512	RP11-54O7.17	1	-	995966	998051	3.604741	2.074598	3.968682
ENSG00000188290	HES4	1	-	998962	1000172	45.051880	15.143521	28.969393
ENSG00000187608	ISG15	1	+	1001138	1014541	18.014826	6.055417	11.583946
ENSG00000231702	RP11-54O7.10	1	-	1008076	1008229	0.493506	0.165885	0.317336
ENSG00000224969	RP11-54O7.11	1	-	1011997	1013193	2.530786	0.850686	1.627353
