Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237613	FAM138A	1	-	34554	36081	0.406754	0.137798	0.279281
ENSG00000186092	OR4F5	1	+	69091	70008	0.179739	0.061260	0.124158
ENSG00000238009	RP11-34P13.7	1	-	89295	133723	0.293036	0.099273	0.201201
ENSG00000239945	RP11-34P13.8	1	-	89551	91105	0.770040	0.260870	0.528716
ENSG00000233750	CICP27	1	+	131025	134836	0.189184	0.064091	0.129895
ENSG00000268903	RP11-34P13.15	1	-	135141	135895	3.273390	1.108941	2.247535
ENSG00000239906	RP11-34P13.14	1	-	139790	140339	0.000000	0.000000	0.000000
ENSG00000269981	RP11-34P13.16	1	-	137682	137965	10.399649	3.523135	7.140481
ENSG00000279928	FO538757.3	1	+	182393	184158	1.293059	0.438055	0.887825
ENSG00000241860	RP11-34P13.13	1	-	141474	173862	0.421764	0.142883	0.289587
ENSG00000222623	RNU6-1100P	1	-	157784	157887	0.000000	0.000000	0.000000
ENSG00000241599	RP11-34P13.9	1	+	160446	161525	0.080963	0.027428	0.055590
ENSG00000223972	DDX11L1	1	+	11869	14409	0.188685	0.063922	0.129553
ENSG00000227232	WASH7P	1	-	14404	29570	25.252483	8.554896	17.338556
ENSG00000278267	MIR6859-3	1	-	17369	17436	44.912422	15.215181	30.837227
ENSG00000243485	RP11-34P13.3	1	+	29554	31109	0.145217	0.049196	0.099707
ENSG00000274890	MIR1302-9	1	+	30366	30503	0.000000	0.000000	0.000000
ENSG00000236679	RP4-669L17.1	1	-	347982	348366	0.905007	0.306594	0.621386
ENSG00000228463	AP006222.2	1	-	257864	297502	1.022572	0.346421	0.702106
ENSG00000241670	AP006222.1	1	-	258568	259024	2.593734	0.878691	1.780878
ENSG00000279457	FO538757.2	1	-	184923	200322	32.294258	10.940470	22.173492
ENSG00000273874	MIR6859-2	1	-	187891	187958	17.041424	5.773199	11.700777
ENSG00000231709	RP5-857K21.1	1	-	585989	588453	0.029295	0.009924	0.020114
ENSG00000235146	RP5-857K21.2	1	+	587629	594768	0.118110	0.040013	0.081095
ENSG00000239664	RP5-857K21.3	1	-	594453	597498	0.117371	0.039762	0.080588
ENSG00000236743	RP5-857K21.15	1	-	357383	359681	0.000000	0.000000	0.000000
ENSG00000236601	RP4-669L17.2	1	+	358857	365704	0.000000	0.000000	0.000000
ENSG00000237094	RP4-669L17.10	1	-	365389	501617	0.481430	0.163096	0.330554
ENSG00000269732	WBP1LP7	1	+	439870	440232	0.000000	0.000000	0.000000
ENSG00000278566	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
ENSG00000224813	RP4-669L17.4	1	-	485032	485211	0.342593	0.116062	0.235227
ENSG00000233653	CICP7	1	+	487101	489906	0.088613	0.030020	0.060842
ENSG00000250575	RP4-669L17.8	1	-	491225	493241	9.423629	3.192485	6.470338
ENSG00000224956	RP11-206L10.1	1	-	726231	728147	6.694880	2.268054	4.596757
ENSG00000235373	RP11-206L10.3	1	-	741813	750016	0.163010	0.055224	0.111924
ENSG00000240618	RP11-206L10.5	1	-	759032	764925	2.003175	0.678625	1.375396
ENSG00000229905	RP11-206L10.4	1	+	760911	761989	0.000000	0.000000	0.000000
ENSG00000228327	RP11-206L10.2	1	-	764857	778626	4.353481	1.474848	2.989135
ENSG00000237491	RP11-206L10.9	1	+	778770	810060	0.915904	2.114951	4.286458
ENSG00000230092	RP11-206L10.8	1	-	800879	817712	0.885321	0.299924	0.607868
ENSG00000177757	FAM87B	1	+	817371	819837	1.387006	0.469882	0.952329
ENSG00000230368	FAM41C	1	-	868071	876903	0.221391	0.075002	0.152009
ENSG00000234711	TUBB8P11	1	+	873292	874349	0.000000	0.000000	0.000000
ENSG00000272438	RP11-54O7.16	1	+	904834	915976	1.393162	0.471968	0.956556
ENSG00000230699	RP11-54O7.1	1	+	911435	914948	0.971081	0.328977	0.666752
ENSG00000241180	RP11-54O7.2	1	+	914171	914971	0.573363	0.194241	0.393676
ENSG00000223764	RP11-54O7.3	1	-	916865	921016	7.848025	2.658710	5.388516
ENSG00000228794	LINC01128	1	+	825138	859446	2.126762	0.720493	1.460252
ENSG00000225880	LINC00115	1	-	826206	827522	20.696659	7.011500	14.210491
ENSG00000187583	PLEKHN1	1	+	966497	975865	0.829333	0.280957	0.569427
ENSG00000187642	PERM1	1	-	975204	982093	0.471086	0.159592	0.323451
ENSG00000187961	KLHL17	1	+	960587	965715	13.267452	4.494674	9.109538
ENSG00000277294	AL645608.1	1	+	965110	965166	30.438597	10.311819	20.899382
ENSG00000187634	SAMD11	1	+	924880	944581	12.943524	4.384935	8.887126
ENSG00000188976	NOC2L	1	-	944204	959309	25.867018	8.763085	17.760500
ENSG00000272512	RP11-54O7.17	1	-	995966	998051	8.458240	2.865435	5.807495
ENSG00000188290	HES4	1	-	998962	1000172	40.571556	13.744607	27.856752
ENSG00000187608	ISG15	1	+	1001138	1014541	17.267780	5.849883	11.856194
ENSG00000231702	RP11-54O7.10	1	-	1008076	1008229	1.384849	0.469151	0.950848
ENSG00000224969	RP11-54O7.11	1	-	1011997	1013193	0.736730	0.249585	0.505845
ENSG00000237330	RNF223	1	-	1070966	1074307	0.000000	0.000000	0.000000
ENSG00000217801	RP11-465B22.3	1	+	1059734	1069355	0.894482	0.303028	0.614158
ENSG00000273443	RP11-54O7.18	1	-	1062208	1063288	0.826297	0.279928	0.567342
ENSG00000230021	RP5-857K21.4	1	-	601436	724707	0.171368	0.058055	0.117663
ENSG00000223659	RP5-857K21.5	1	-	627377	629010	0.000000	0.000000	0.000000
ENSG00000225972	MTND1P23	1	+	629062	629433	142.610214	48.312698	97.917297
ENSG00000225630	MTND2P28	1	+	629640	630683	822.091248	278.503510	564.454346
ENSG00000276171	AC114498.1	1	+	630896	630958	19.158730	6.490489	13.154537
ENSG00000237973	RP5-857K21.6	1	+	631074	632616	76.758606	27.247013	55.222622
ENSG00000278791	MIR6723	1	-	632325	632413	0.000000	0.000000	0.000000
ENSG00000229344	RP5-857K21.7	1	+	632757	633438	9.052786	3.066853	6.215714
ENSG00000240409	MTATP8P1	1	+	633535	633741	31.468599	10.660757	21.606590
ENSG00000248527	MTATP6P1	1	+	633696	634376	1124.797729	381.052765	772.294983
ENSG00000198744	RP5-857K21.11	1	+	634376	634922	64.782448	21.946638	44.480141
ENSG00000268663	WBP1LP6	1	+	674842	675265	0.009696	0.003285	0.006657
ENSG00000273547	OR4F16	1	-	685716	686654	0.107916	0.036559	0.074096
ENSG00000229376	CICP3	1	+	722092	724903	0.627392	0.212544	0.430772
ENSG00000188157	AGRN	1	+	1020123	1056118	21.014465	7.119164	14.428699
ENSG00000242590	RP11-54O7.14	1	+	1055033	1056116	53.796021	18.224718	36.936775
ENSG00000186891	TNFRSF18	1	-	1203508	1206691	0.419708	0.142186	0.288175
ENSG00000186827	TNFRSF4	1	-	1211326	1214138	1.660081	0.562393	1.139825
ENSG00000205231	TTLL10-AS1	1	-	1173056	1179555	0.103907	0.035201	0.071343
ENSG00000162571	TTLL10	1	+	1173884	1197935	0.179082	0.060668	0.122959
