Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237613	FAM138A	1	-	34554	36081	0.217596	0.057208	0.106121
ENSG00000238009	RP11-34P13.7	1	-	89295	133723	0.352446	0.092661	0.171887
ENSG00000239945	RP11-34P13.8	1	-	89551	91105	0.725228	0.190669	0.353693
ENSG00000233750	CICP27	1	+	131025	134836	0.229511	0.060341	0.111932
ENSG00000268903	RP11-34P13.15	1	-	135141	135895	2.340262	0.615277	1.141342
ENSG00000239906	RP11-34P13.14	1	-	139790	140339	0.047644	0.012526	0.023236
ENSG00000223972	DDX11L1	1	+	11869	14409	0.373455	0.098185	0.182133
ENSG00000227232	WASH7P	1	-	14404	29570	23.117739	6.077868	11.274487
ENSG00000278267	MIR6859-3	1	-	17369	17436	25.782831	6.778546	12.574250
ENSG00000243485	RP11-34P13.3	1	+	29554	31109	0.024486	0.006438	0.011942
ENSG00000274890	MIR1302-9	1	+	30366	30503	0.000000	0.000000	0.000000
ENSG00000269981	RP11-34P13.16	1	-	137682	137965	5.923323	1.557297	2.888796
ENSG00000241860	RP11-34P13.13	1	-	141474	173862	0.191285	0.050291	0.093289
ENSG00000222623	RNU6-1100P	1	-	157784	157887	0.000000	0.000000	0.000000
ENSG00000241599	RP11-34P13.9	1	+	160446	161525	0.000000	0.000000	0.000000
ENSG00000279928	FO538757.3	1	+	182393	184158	1.589160	0.417805	0.775031
ENSG00000236679	RP4-669L17.1	1	-	347982	348366	0.388544	0.102152	0.189492
ENSG00000228463	AP006222.2	1	-	257864	297502	1.456632	0.382962	0.710397
ENSG00000241670	AP006222.1	1	-	258568	259024	1.968621	0.517569	0.960094
ENSG00000279457	FO538757.2	1	-	184923	200322	26.608784	6.995697	12.977065
ENSG00000273874	MIR6859-2	1	-	187891	187958	12.644605	4.166600	7.729073
ENSG00000231709	RP5-857K21.1	1	-	585989	588453	0.412114	0.108349	0.200987
ENSG00000235146	RP5-857K21.2	1	+	587629	594768	1.435433	0.377389	0.700059
ENSG00000239664	RP5-857K21.3	1	-	594453	597498	0.251174	0.066036	0.122497
ENSG00000236743	RP5-857K21.15	1	-	357383	359681	0.611785	0.160844	0.298367
ENSG00000236601	RP4-669L17.2	1	+	358857	365704	0.000000	0.000000	0.000000
ENSG00000237094	RP4-669L17.10	1	-	365389	501617	0.354639	0.093238	0.172957
ENSG00000269732	WBP1LP7	1	+	439870	440232	0.000000	0.000000	0.000000
ENSG00000278566	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
ENSG00000224813	RP4-669L17.4	1	-	485032	485211	1.065431	0.280112	0.519609
ENSG00000233653	CICP7	1	+	487101	489906	0.129630	0.034081	0.063220
ENSG00000250575	RP4-669L17.8	1	-	491225	493241	3.174022	0.834480	1.547966
ENSG00000224956	RP11-206L10.1	1	-	726231	728147	4.652447	1.223172	2.268992
ENSG00000235373	RP11-206L10.3	1	-	741813	750016	0.073150	0.019232	0.035675
ENSG00000223181	RNU6-1199P	1	-	758233	758336	0.147436	0.038762	0.071904
ENSG00000240618	RP11-206L10.5	1	-	759032	764925	0.735862	0.193465	0.358879
ENSG00000229905	RP11-206L10.4	1	+	760911	761989	0.000000	0.000000	0.000000
ENSG00000228327	RP11-206L10.2	1	-	764857	778626	4.915194	1.292250	2.397133
ENSG00000237491	RP11-206L10.9	1	+	778770	810060	1.025990	1.374790	2.550246
ENSG00000230092	RP11-206L10.8	1	-	800879	817712	2.239681	0.588833	1.092289
ENSG00000177757	FAM87B	1	+	817371	819837	1.472265	0.387072	0.718022
ENSG00000230368	FAM41C	1	-	868071	876903	0.196711	0.051717	0.095936
ENSG00000234711	TUBB8P11	1	+	873292	874349	0.000000	0.000000	0.000000
ENSG00000272438	RP11-54O7.16	1	+	904834	915976	1.304843	0.343055	0.636370
ENSG00000230699	RP11-54O7.1	1	+	911435	914948	0.447585	0.117674	0.218287
ENSG00000241180	RP11-54O7.2	1	+	914171	914971	0.189616	0.049852	0.092475
ENSG00000223764	RP11-54O7.3	1	-	916865	921016	5.950867	1.564538	2.902229
ENSG00000228794	LINC01128	1	+	825138	859446	3.398432	0.893479	1.657410
ENSG00000225880	LINC00115	1	-	826206	827522	12.944571	3.403248	6.313048
ENSG00000187634	SAMD11	1	+	924880	944581	5.547406	1.458465	2.705462
ENSG00000188976	NOC2L	1	-	944204	959309	31.806538	8.362234	15.512003
ENSG00000230021	RP5-857K21.4	1	-	601436	724707	0.240001	0.063098	0.117048
ENSG00000223659	RP5-857K21.5	1	-	627377	629010	0.000000	0.000000	0.000000
ENSG00000225972	MTND1P23	1	+	629062	629433	170.661285	44.868439	83.231262
ENSG00000225630	MTND2P28	1	+	629640	630683	912.343384	241.866867	448.664734
ENSG00000276171	AC114498.1	1	+	630896	630958	45.000000	11.830918	21.946436
ENSG00000237973	RP5-857K21.6	1	+	631074	632616	165.765839	45.875164	85.098740
ENSG00000278791	MIR6723	1	-	632325	632413	0.000000	0.000000	0.000000
ENSG00000229344	RP5-857K21.7	1	+	632757	633438	19.082098	5.016861	9.306312
ENSG00000240409	MTATP8P1	1	+	633535	633741	61.867943	16.265657	30.172907
ENSG00000248527	MTATP6P1	1	+	633696	634376	1321.985718	347.562347	644.730469
ENSG00000198744	RP5-857K21.11	1	+	634376	634922	100.308044	26.371918	48.920090
ENSG00000268663	WBP1LP6	1	+	674842	675265	0.000000	0.000000	0.000000
